小区ID,城市,行政区,小区名称,户型分类,户型类型,标准面积,面积区间,户型租金/毛坯,租金/简易装修,租金/精装修,租金/豪华装修,租金/付款方式,更新时间
---,杭州,拱墅区,拱宸新苑,3室1厅,---,9,"(0, 10]",1230,1230,1230,1230,押一付三,---
---,杭州,拱墅区,小河佳苑,4室1厅,---,18,"(1, 11]",1960,1960,1960,1960,押一付三,---
---,杭州,拱墅区,大华海派风景,4室1厅,---,13,"(1, 11]",1660,1660,1660,1660,押一付三,---
---,杭州,拱墅区,万科杭宸一期,5室1厅,---,10,"(1, 11]",1560,1560,1560,1560,押一付三,---
---,杭州,拱墅区,东新园茗盛苑,1室1厅,---,126,"(12, 22]",5130,5130,5130,5130,押一付三,---
---,杭州,拱墅区,渡驾新村,4室2厅,---,10,"(1, 11]",1430,1430,1430,1430,押一付三,---
---,杭州,拱墅区,大华海派风景,4室1厅,---,21,"(2, 12]",1890,1890,1890,1890,押一付三,---
---,杭州,拱墅区,庆隆苑,4室1厅,---,15,"(1, 11]",1890,1890,1890,1890,押一付三,---
---,杭州,拱墅区,方正荷塘月色,4室1厅,---,14,"(1, 11]",1690,1690,1690,1690,押一付三,---
---,杭州,拱墅区,欣盛东方福邸,4室1厅,---,11,"(1, 11]",1790,1790,1790,1790,押一付三,---
---,杭州,拱墅区,大华海派风景,4室1厅,---,9,"(0, 10]",1460,1460,1460,1460,押一付三,---
---,杭州,拱墅区,五洋运河人家,3室1厅,---,20,"(2, 12]",2290,2290,2290,2290,押一付三,---
---,杭州,拱墅区,凯喜雅锦河湾,4室2厅,---,12,"(1, 11]",1460,1460,1460,1460,押一付三,---
---,杭州,拱墅区,凯喜雅锦河湾,4室2厅,---,14,"(1, 11]",1430,1430,1430,1430,押一付三,---
---,杭州,拱墅区,中大银泰城,1室0厅,---,50,"(5, 15]",3600,3600,3600,3600,押一付三,---
---,杭州,拱墅区,中大银泰城,1室1厅,---,50,"(5, 15]",4260,4260,4260,4260,押一付三,---
---,杭州,拱墅区,紫元尚堂,4室2厅,---,9,"(0, 10]",1430,1430,1430,1430,押一付三,---
---,杭州,拱墅区,顺发吉祥半岛,4室1厅,---,13,"(1, 11]",1900,1900,1900,1900,押一付三,---
---,杭州,拱墅区,锦文雅苑,5室1厅,---,12,"(1, 11]",1600,1600,1600,1600,押一付三,---
---,杭州,拱墅区,景致公寓,4室1厅,---,13,"(1, 11]",1700,1700,1700,1700,押一付三,---
---,杭州,拱墅区,欣盛东方福邸,4室1厅,---,6,"(0, 10]",1330,1330,1330,1330,押一付三,---
---,杭州,拱墅区,北城天地,3室1厅,---,25,"(2, 12]",1930,1930,1930,1930,押一付三,---
---,杭州,拱墅区,小河佳苑,3室1厅,---,10,"(1, 11]",1660,1660,1660,1660,押一付三,---
---,杭州,拱墅区,吉如家园,3室1厅,---,9,"(0, 10]",1660,1660,1660,1660,押一付三,---
---,杭州,拱墅区,大关南一苑,3室1厅,---,12,"(1, 11]",1730,1730,1730,1730,押一付三,---
---,杭州,拱墅区,招商雍景湾,5室1厅,---,13,"(1, 11]",1760,1760,1760,1760,押一付三,---
---,杭州,拱墅区,和睦新村,2室1厅,---,13,"(1, 11]",1890,1890,1890,1890,押一付三,---
---,杭州,拱墅区,大华海派风景,4室1厅,---,16,"(1, 11]",1630,1630,1630,1630,押一付三,---
---,杭州,拱墅区,融信蓝孔雀,4室1厅,---,10,"(1, 11]",1690,1690,1690,1690,押一付三,---
---,杭州,拱墅区,尚堂府,4室1厅,---,19,"(1, 11]",2230,2230,2230,2230,押一付三,---
---,杭州,拱墅区,假山新村,4室1厅,---,7,"(0, 10]",1490,1490,1490,1490,押一付三,---
---,杭州,拱墅区,左岸花园,4室1厅,---,33,"(3, 13]",2060,2060,2060,2060,押一付三,---
---,杭州,拱墅区,富越香郡,3室2厅,---,5,"(0, 10]",1160,1160,1160,1160,押一付三,---
---,杭州,拱墅区,万科北宸之光,4室1厅,---,9,"(0, 10]",1330,1330,1330,1330,押一付三,---
---,杭州,拱墅区,万家名城一期,3室2厅,---,9,"(0, 10]",1490,1490,1490,1490,押一付三,---
---,杭州,拱墅区,三塘南村,1室2厅,---,86,"(8, 18]",4730,4730,4730,4730,押一付三,---
---,杭州,拱墅区,丁桥景园南苑,4室1厅,---,10,"(1, 11]",1290,1290,1290,1290,押一付三,---
---,杭州,拱墅区,九龙仓珑玺,4室1厅,---,17,"(1, 11]",2390,2390,2390,2390,押一付三,---
---,杭州,拱墅区,大关西五苑,3室1厅,---,16,"(1, 11]",1830,1830,1830,1830,押一付三,---
---,杭州,拱墅区,大关东二苑,2室1厅,---,19,"(1, 11]",2160,2160,2160,2160,押一付三,---
---,杭州,拱墅区,盛德欣苑,4室1厅,---,22,"(2, 12]",2530,2530,2530,2530,押一付三,---
---,杭州,拱墅区,叶青苑,3室1厅,---,11,"(1, 11]",1960,1960,1960,1960,押一付三,---
---,杭州,拱墅区,漾河人家,1室1厅,---,67,"(6, 16]",4030,4030,4030,4030,押一付三,---
---,杭州,拱墅区,嘉泰馨庭,3室1厅,---,16,"(1, 11]",2030,2030,2030,2030,押一付三,---
---,杭州,拱墅区,丁桥景园南苑,4室1厅,---,10,"(1, 11]",1290,1290,1290,1290,押一付三,---
---,杭州,拱墅区,融信蓝孔雀,4室1厅,---,18,"(1, 11]",1630,1630,1630,1630,押一付三,---
---,杭州,拱墅区,锦绣文澜阁,3室1厅,---,11,"(1, 11]",1530,1530,1530,1530,押一付三,---
---,杭州,拱墅区,天阳尚景国际二期,4室1厅,---,7,"(0, 10]",1390,1390,1390,1390,押一付三,---
---,杭州,拱墅区,天阳尚景国际二期,1室1厅,---,18,"(1, 11]",2460,2460,2460,2460,押一付三,---
---,杭州,拱墅区,建塘家苑,3室1厅,---,11,"(1, 11]",1400,1400,1400,1400,押一付三,---
---,杭州,拱墅区,稻香园南区,3室1厅,---,11,"(1, 11]",1890,1890,1890,1890,押一付三,---
---,杭州,拱墅区,吉祥半岛,1室1厅,---,63,"(6, 16]",3990,3990,3990,3990,押一付三,---
---,杭州,拱墅区,尚堂府,4室1厅,---,19,"(1, 11]",2140,2140,2140,2140,押一付三,---
---,杭州,拱墅区,大华海派风景,4室1厅,---,14,"(1, 11]",1720,1720,1720,1720,押一付三,---
---,杭州,拱墅区,九龙仓珑玺,4室1厅,---,19,"(1, 11]",2400,2400,2400,2400,押一付三,---
---,杭州,拱墅区,滨江万家名城二期,4室1厅,---,11,"(1, 11]",1660,1660,1660,1660,押一付三,---
---,杭州,拱墅区,锦绣文澜阁,3室1厅,---,16,"(1, 11]",1860,1860,1860,1860,押一付三,---
---,杭州,江干区,曙光之城,4室1厅,---,8,"(0, 10]",730,730,730,730,押一付三,---
---,杭州,江干区,滨江德信东方星城,5室1厅,---,19,"(1, 11]",1930,1930,1930,1930,押一付三,---
---,杭州,江干区,昆仑红苹果,4室1厅,---,10,"(1, 11]",1476,1476,1476,1476,押一付三,---
---,杭州,江干区,省水利厅宿舍,3室1厅,---,10,"(1, 11]",1960,1960,1960,1960,押一付三,---
---,杭州,江干区,东都公寓,3室1厅,---,10,"(1, 11]",1690,1690,1690,1690,押一付三,---
---,杭州,江干区,三里新城荷苑,4室1厅,---,13,"(1, 11]",1870,1870,1870,1870,押一付三,---
---,杭州,江干区,野风海天城,3室1厅,---,14,"(1, 11]",1646,1646,1646,1646,押一付三,---
---,杭州,江干区,龙湖.滟澜山3期,4室1厅,---,14,"(1, 11]",1890,1890,1890,1890,押一付三,---
---,杭州,江干区,钱江府,4室1厅,---,14,"(1, 11]",1796,1796,1796,1796,押一付三,---
---,杭州,江干区,蓝桥景苑,3室1厅,---,15,"(1, 11]",1723,1723,1723,1723,押一付三,---
---,杭州,江干区,文渊大厦,4室1厅,---,20,"(2, 12]",1900,1900,1900,1900,押一付三,---
---,杭州,江干区,草庄景墅,4室1厅,---,13,"(1, 11]",1700,1700,1700,1700,押一付三,---
---,杭州,江干区,新元金沙家园,4室1厅,---,10,"(1, 11]",1493,1493,1493,1493,押一付三,---
---,杭州,江干区,悦麟美寓,3室1厅,---,14,"(1, 11]",1630,1630,1630,1630,押一付三,---
---,杭州,江干区,三里新城荷苑,3室1厅,---,11,"(1, 11]",1800,1800,1800,1800,押一付三,---
---,杭州,江干区,文渊大厦,4室2厅,---,10,"(1, 11]",1790,1790,1790,1790,押一付三,---
---,杭州,江干区,大家多立方,3室1厅,---,19,"(1, 11]",1900,1900,1900,1900,押一付三,---
---,杭州,江干区,东海柠檬郡,4室1厅,---,9,"(0, 10]",1506,1506,1506,1506,押一付三,---
---,杭州,江干区,招商雍和府,4室1厅,---,13,"(1, 11]",1790,1790,1790,1790,押一付三,---
---,杭州,江干区,天阳九筑,4室1厅,---,18,"(1, 11]",1990,1990,1990,1990,押一付三,---
---,杭州,江干区,蓝桥景苑,3室1厅,---,14,"(1, 11]",1630,1630,1630,1630,押一付三,---
---,杭州,江干区,省水利厅宿舍,3室1厅,---,12,"(1, 11]",2060,2060,2060,2060,押一付三,---
---,杭州,江干区,金色黎明二期,4室1厅,---,16,"(1, 11]",1790,1790,1790,1790,押一付三,---
---,杭州,江干区,金牛坊,3室1厅,---,12,"(1, 11]",2053,2053,2053,2053,押一付三,---
---,杭州,江干区,中海御道,4室2厅,---,13,"(1, 11]",1846,1846,1846,1846,押一付三,---
---,杭州,江干区,德信金泊林公寓,4室1厅,---,14,"(1, 11]",1660,1660,1660,1660,押一付三,---
---,杭州,江干区,宋都凯旋苑,5室1厅,---,8,"(0, 10]",1953,1953,1953,1953,押一付三,---
---,杭州,江干区,滨江德信东方星城,4室1厅,---,6,"(0, 10]",1453,1453,1453,1453,押一付三,---
---,杭州,江干区,景芳水湘苑,3室1厅,---,11,"(1, 11]",1823,1823,1823,1823,押一付三,---
---,杭州,江干区,钱江三苑,3室1厅,---,8,"(0, 10]",1890,1890,1890,1890,押一付三,---
---,杭州,江干区,金沙学府,5室1厅,---,19,"(1, 11]",1830,1830,1830,1830,押一付三,---
---,杭州,江干区,万科魅力之城,4室1厅,---,10,"(1, 11]",1530,1530,1530,1530,押一付三,---
---,杭州,江干区,昆仑红苹果,4室1厅,---,19,"(1, 11]",1730,1730,1730,1730,押一付三,---
---,杭州,江干区,绿城杨柳郡,4室1厅,---,8,"(0, 10]",1546,1546,1546,1546,押一付三,---
---,杭州,江干区,德信泊林印象,4室1厅,---,11,"(1, 11]",1600,1600,1600,1600,押一付三,---
---,杭州,江干区,天阳尚城国际二期,3室1厅,---,8,"(0, 10]",1506,1506,1506,1506,押一付三,---
---,杭州,江干区,铭和苑新荷坊,3室1厅,---,8,"(0, 10]",1446,1446,1446,1446,押一付三,---
---,杭州,江干区,天城府,4室1厅,---,11,"(1, 11]",1830,1830,1830,1830,押一付三,---
---,杭州,江干区,世茂天宸,4室1厅,---,7,"(0, 10]",1476,1476,1476,1476,押一付三,---
---,杭州,江干区,南肖埠北景西苑,3室1厅,---,14,"(1, 11]",2190,2190,2190,2190,押一付三,---
---,杭州,江干区,水岸帝景,4室1厅,---,14,"(1, 11]",2436,2436,2436,2436,押一付三,---
---,杭州,江干区,悦麟美寓,4室1厅,---,10,"(1, 11]",1600,1600,1600,1600,押一付三,---
---,杭州,江干区,中海御道路一号四期,5室1厅,---,10,"(1, 11]",1730,1730,1730,1730,押一付三,---
---,杭州,江干区,昆仑红苹果,4室1厅,---,15,"(1, 11]",1670,1670,1670,1670,押一付三,---
---,杭州,江干区,紫玉福邸,5室1厅,---,9,"(0, 10]",1830,1830,1830,1830,押一付三,---
---,杭州,江干区,金沙学府,5室1厅,---,14,"(1, 11]",1590,1590,1590,1590,押一付三,---
---,杭州,江干区,凯旋新村,3室1厅,---,16,"(1, 11]",2130,2130,2130,2130,押一付三,---
---,杭州,江干区,德信大家钱江府,4室1厅,---,9,"(0, 10]",1700,1700,1700,1700,押一付三,---
---,杭州,江干区,南肖埠小区庆春苑,3室1厅,---,12,"(1, 11]",2030,2030,2030,2030,押一付三,---
---,杭州,江干区,金基晓庐,4室1厅,---,16,"(1, 11]",2236,2236,2236,2236,押一付三,---
---,杭州,江干区,保利东湾西区,5室1厅,---,17,"(1, 11]",1336,1336,1336,1336,押一付三,---
---,杭州,江干区,万科魅力之城,3室1厅,---,20,"(2, 12]",2060,2060,2060,2060,押一付三,---
---,杭州,江干区,盛世钱塘,4室1厅,---,9,"(0, 10]",2090,2090,2090,2090,押一付三,---
---,杭州,江干区,元成东盛家园,4室1厅,---,10,"(1, 11]",1490,1490,1490,1490,押一付三,---
---,杭州,江干区,高沙百盛苑,3室1厅,---,8,"(0, 10]",1430,1430,1430,1430,押一付三,---
---,杭州,江干区,红街公寓,5室1厅,---,32,"(3, 13]",3120,3120,3120,3120,押一付三,---
---,杭州,江干区,多蓝水岸碧海苑,4室1厅,---,15,"(1, 11]",1560,1560,1560,1560,押一付三,---
---,杭州,江干区,凯旋路112号,4室1厅,---,11,"(1, 11]",1100,1100,1100,1100,押一付三,---
---,杭州,江干区,中海御道路一号四期,4室1厅,---,20,"(2, 12]",2436,2436,2436,2436,押一付三,---
---,杭州,江干区,濮家新村,1室1厅,---,56,"(5, 15]",4660,4660,4660,4660,押一付三,---
---,杭州,江干区,新中宇维萨,3室1厅,---,12,"(1, 11]",1993,1993,1993,1993,押一付三,---
---,杭州,江干区,大都文苑风情,1室1厅,---,51,"(5, 15]",2990,2990,2990,2990,押一付三,---
---,杭州,江干区,天元公寓,4室1厅,---,11,"(1, 11]",1590,1590,1590,1590,押一付三,---
---,杭州,江干区,静怡花苑,3室1厅,---,16,"(1, 11]",2430,2430,2430,2430,押一付三,---
---,杭州,江干区,同方国际,1室1厅,---,39,"(3, 13]",2730,2730,2730,2730,押一付三,---
---,杭州,江干区,京惠花园,3室1厅,---,9,"(0, 10]",1730,1730,1730,1730,押一付三,---
---,杭州,江干区,沁园雅舍,1室0厅,---,30,"(3, 13]",3190,3190,3190,3190,押一付三,---
---,杭州,江干区,美达浅草名苑,4室1厅,---,9,"(0, 10]",1363,1363,1363,1363,押一付三,---
---,杭州,江干区,凯旋路184号,2室1厅,---,11,"(1, 11]",1230,1230,1230,1230,押一付三,---
---,杭州,江干区,九月庭院,4室1厅,---,12,"(1, 11]",1436,1436,1436,1436,押一付三,---
---,杭州,江干区,天城府,4室1厅,---,5,"(0, 10]",1276,1276,1276,1276,押一付三,---
---,杭州,江干区,美达浅草名苑,5室1厅,---,18,"(1, 11]",1593,1593,1593,1593,押一付三,---
---,杭州,江干区,老浙大横路一弄,3室1厅,---,8,"(0, 10]",1090,1090,1090,1090,押一付三,---
---,杭州,江干区,花圃铁路新村,2室1厅,---,49,"(4, 14]",5100,5100,5100,5100,押一付三,---
---,杭州,江干区,笕桥花苑,4室1厅,---,15,"(1, 11]",730,730,730,730,押一付三,---
---,杭州,江干区,新城时代广场,1室0厅,---,43,"(4, 14]",3660,3660,3660,3660,押一付三,---
---,杭州,江干区,采荷小区玉荷邨,3室1厅,---,62,"(6, 16]",6360,6360,6360,6360,押一付三,---
---,杭州,江干区,中海御道路一号一期,4室1厅,---,14,"(1, 11]",890,890,890,890,押一付三,---
---,杭州,江干区,云河西园,4室1厅,---,14,"(1, 11]",960,960,960,960,押一付三,---
---,杭州,江干区,机神新村,2室1厅,---,9,"(0, 10]",1733,1733,1733,1733,押一付三,---
---,杭州,江干区,茶厂宿舍,2室1厅,---,15,"(1, 11]",2260,2260,2260,2260,押一付三,---
---,杭州,江干区,南肖埠社区,4室1厅,---,17,"(1, 11]",2290,2290,2290,2290,押一付三,---
---,杭州,江干区,南肖埠社区,4室1厅,---,18,"(1, 11]",2360,2360,2360,2360,押一付三,---
---,杭州,江干区,南肖埠北景东苑,4室1厅,---,14,"(1, 11]",1763,1763,1763,1763,押一付三,---
---,杭州,江干区,笕桥花苑,4室1厅,---,13,"(1, 11]",600,600,600,600,押一付三,---
---,杭州,江干区,夕照新村,1室1厅,---,36,"(3, 13]",3060,3060,3060,3060,押一付三,---
---,杭州,江干区,景芳六区,1室1厅,---,54,"(5, 15]",4760,4760,4760,4760,押一付三,---
---,杭州,江干区,同方国际,1室1厅,---,49,"(4, 14]",3030,3030,3030,3030,押一付三,---
---,杭州,江干区,天城路60-8号院,3室1厅,---,12,"(1, 11]",1663,1663,1663,1663,押一付三,---
---,杭州,江干区,湾南德盛东苑,1室1厅,---,56,"(5, 15]",2290,2290,2290,2290,押一付三,---
---,杭州,江干区,中豪七格,1室1厅,---,40,"(4, 14]",2530,2530,2530,2530,押一付三,---
---,杭州,江干区,湾南德盛东苑,1室1厅,---,55,"(5, 15]",2290,2290,2290,2290,押一付三,---
---,杭州,江干区,省水利厅宿舍,3室1厅,---,10,"(1, 11]",960,960,960,960,押一付三,---
---,杭州,江干区,闻皇庙社区,1室1厅,---,90,"(9, 19]",4160,4160,4160,4160,押一付三,---
---,杭州,江干区,濮家新村,1室1厅,---,58,"(5, 15]",4930,4930,4930,4930,押一付三,---
---,杭州,江干区,万科魅力之城,4室1厅,---,10,"(1, 11]",1606,1606,1606,1606,押一付三,---
---,杭州,江干区,悦麟美寓,4室1厅,---,19,"(1, 11]",830,830,830,830,押一付三,---
---,杭州,江干区,钱江府,4室1厅,---,17,"(1, 11]",930,930,930,930,押一付三,---
---,杭州,江干区,新城市广场,1室1厅,---,48,"(4, 14]",2860,2860,2860,2860,押一付三,---
---,杭州,江干区,新城时代广场,1室0厅,---,47,"(4, 14]",3690,3690,3690,3690,押一付三,---
---,杭州,江干区,钱江六苑,3室1厅,---,15,"(1, 11]",1290,1290,1290,1290,押一付三,---
---,杭州,江干区,凯旋新村,2室1厅,---,10,"(1, 11]",1090,1090,1090,1090,押一付三,---
---,杭州,江干区,云河西园,3室1厅,---,14,"(1, 11]",990,990,990,990,押一付三,---
---,杭州,江干区,云河西园,4室1厅,---,13,"(1, 11]",930,930,930,930,押一付三,---
---,杭州,江干区,云河西园,4室1厅,---,13,"(1, 11]",930,930,930,930,押一付三,---
---,杭州,江干区,新城时代广场,1室0厅,---,40,"(4, 14]",3430,3430,3430,3430,押一付三,---
---,杭州,江干区,濮家新村,1室1厅,---,71,"(7, 17]",5360,5360,5360,5360,押一付三,---
---,杭州,江干区,中兴九洲芳园,4室1厅,---,12,"(1, 11]",460,460,460,460,押一付三,---
---,杭州,江干区,三里亭苑二区,3室1厅,---,10,"(1, 11]",1523,1523,1523,1523,押一付三,---
---,杭州,江干区,濮家新村,1室1厅,---,54,"(5, 15]",4430,4430,4430,4430,押一付三,---
---,杭州,江干区,静怡花苑,1室1厅,---,73,"(7, 17]",4090,4090,4090,4090,押一付三,---
---,杭州,江干区,三叉新村,1室1厅,---,96,"(9, 19]",5030,5030,5030,5030,押一付三,---
---,杭州,江干区,新城时代广场,1室0厅,---,39,"(3, 13]",3630,3630,3630,3630,押一付三,---
---,杭州,江干区,金隅空港公馆,1室1厅,---,68,"(6, 16]",2260,2260,2260,2260,押一付三,---
---,杭州,江干区,凯林巷,3室1厅,---,6,"(0, 10]",4646,4646,4646,4646,押一付三,---
---,杭州,江干区,和谐嘉园南苑,1室1厅,---,11,"(1, 11]",4830,4830,4830,4830,押一付三,---
---,杭州,江干区,万科魅力之城,4室1厅,---,13,"(1, 11]",1736,1736,1736,1736,押一付三,---
---,杭州,江干区,清江路132号,1室2厅,---,65,"(6, 16]",3300,3300,3300,3300,押一付三,---
---,杭州,江干区,圣奥领寓,5室1厅,---,9,"(0, 10]",1406,1406,1406,1406,押一付三,---
---,杭州,江干区,德信金泊林公寓,4室1厅,---,8,"(0, 10]",1346,1346,1346,1346,押一付三,---
---,杭州,江干区,南肖埠北景东苑,4室1厅,---,12,"(1, 11]",1746,1746,1746,1746,押一付三,---
---,杭州,江干区,交通晓时代,4室1厅,---,8,"(0, 10]",1646,1646,1646,1646,押一付三,---
---,杭州,江干区,南肖埠社区,3室1厅,---,13,"(1, 11]",1876,1876,1876,1876,押一付三,---
---,杭州,江干区,曙光之城,5室1厅,---,19,"(1, 11]",2206,2206,2206,2206,押一付三,---
---,杭州,江干区,曙光之城,5室1厅,---,16,"(1, 11]",1906,1906,1906,1906,押一付三,---
---,杭州,江干区,多立方一期,4室1厅,---,16,"(1, 11]",1776,1776,1776,1776,押一付三,---
---,杭州,江干区,天城府,5室1厅,---,10,"(1, 11]",1636,1636,1636,1636,押一付三,---
---,杭州,江干区,多立方一期,4室1厅,---,10,"(1, 11]",1476,1476,1476,1476,押一付三,---
---,杭州,江干区,铭和苑新荷坊,3室1厅,---,16,"(1, 11]",1636,1636,1636,1636,押一付三,---
---,杭州,江干区,招商雍和府,4室1厅,---,5,"(0, 10]",1236,1236,1236,1236,押一付三,---
---,杭州,江干区,新江花园,3室1厅,---,19,"(1, 11]",1110,1110,1110,1110,押一付三,---
---,杭州,江干区,三卫家园北苑,3室1厅,---,10,"(1, 11]",1346,1346,1346,1346,押一付三,---
---,杭州,江干区,保利东湾西区,5室2厅,---,18,"(1, 11]",1436,1436,1436,1436,押一付三,---
---,杭州,江干区,梦琴湾,3室1厅,---,11,"(1, 11]",1476,1476,1476,1476,押一付三,---
---,杭州,江干区,伊萨卡国际城浩泽园,3室1厅,---,10,"(1, 11]",1363,1363,1363,1363,押一付三,---
---,杭州,江干区,沁园雅舍,2室1厅,---,12,"(1, 11]",2306,2306,2306,2306,押一付三,---
---,杭州,江干区,滨江德信东方星城,5室1厅,---,6,"(0, 10]",1353,1353,1353,1353,押一付三,---
---,杭州,江干区,天阳尚城国际二期,3室1厅,---,14,"(1, 11]",2030,2030,2030,2030,押一付三,---
---,杭州,江干区,康恒悦麒美寓,3室2厅,---,11,"(1, 11]",1406,1406,1406,1406,押一付三,---
---,杭州,江干区,清泰南苑,1室1厅,---,35,"(3, 13]",2760,2760,2760,2760,押一付三,---
---,杭州,江干区,德信金泊林公寓,4室1厅,---,17,"(1, 11]",1576,1576,1576,1576,押一付三,---
---,杭州,江干区,伊萨卡国际城鹭江园,4室1厅,---,22,"(2, 12]",1876,1876,1876,1876,押一付三,---
---,杭州,江干区,采荷东区,2室1厅,---,8,"(0, 10]",2123,2123,2123,2123,押一付三,---
---,杭州,江干区,采荷街道青荷苑,3室1厅,---,13,"(1, 11]",2153,2153,2153,2153,押一付三,---
---,杭州,江干区,采荷东区北一区,3室1厅,---,17,"(1, 11]",2153,2153,2153,2153,押一付三,---
---,杭州,江干区,钱江府,4室1厅,---,13,"(1, 11]",1636,1636,1636,1636,押一付三,---
---,杭州,江干区,伊萨卡国际城鹭江园,4室1厅,---,16,"(1, 11]",1646,1646,1646,1646,押一付三,---
---,杭州,江干区,德信泊林印象,4室1厅,---,8,"(0, 10]",1476,1476,1476,1476,押一付三,---
---,杭州,江干区,三卫家园北苑,4室1厅,---,9,"(0, 10]",1123,1123,1123,1123,押一付三,---
---,杭州,江干区,智格新怡家园,3室1厅,---,13,"(1, 11]",1576,1576,1576,1576,押一付三,---
---,杭州,江干区,曙光之城,4室1厅,---,8,"(0, 10]",1493,1493,1493,1493,押一付三,---
---,杭州,江干区,闻皇庙社区,3室1厅,---,18,"(1, 11]",4776,4776,4776,4776,押一付三,---
---,杭州,江干区,天阳文晖,3室1厅,---,8,"(0, 10]",1453,1453,1453,1453,押一付三,---
---,杭州,江干区,南肖埠北景东苑,4室1厅,---,11,"(1, 11]",830,830,830,830,押一付三,---
---,杭州,江干区,金隅观澜时代-天筑,6室2厅,---,18,"(1, 11]",1376,1376,1376,1376,押一付三,---
---,杭州,江干区,思安坊,3室1厅,---,7,"(0, 10]",1706,1706,1706,1706,押一付三,---
---,杭州,江干区,三里亭苑一区,3室1厅,---,14,"(1, 11]",1706,1706,1706,1706,押一付三,---
---,杭州,江干区,金隅观澜时代-云邸,6室1厅,---,12,"(1, 11]",1176,1176,1176,1176,押一付三,---
---,杭州,江干区,天阳尚城国际二期,4室1厅,---,13,"(1, 11]",1523,1523,1523,1523,押一付三,---
---,杭州,江干区,铭和苑桂雨坊,3室1厅,---,14,"(1, 11]",1606,1606,1606,1606,押一付三,---
---,杭州,江干区,金雅苑社区,3室1厅,---,14,"(1, 11]",1676,1676,1676,1676,押一付三,---
---,杭州,江干区,景苑公寓,3室1厅,---,6,"(0, 10]",1563,1563,1563,1563,押一付三,---
---,杭州,江干区,闸弄口新村,2室1厅,---,46,"(4, 14]",4960,4960,4960,4960,押一付三,---
---,杭州,江干区,居安坊,4室2厅,---,12,"(1, 11]",2006,2006,2006,2006,押一付三,---
---,杭州,江干区,金牛坊,2室1厅,---,12,"(1, 11]",2223,2223,2223,2223,押一付三,---
---,杭州,江干区,钱江府,4室1厅,---,20,"(2, 12]",1876,1876,1876,1876,押一付三,---
---,杭州,江干区,运新花苑三区,4室1厅,---,13,"(1, 11]",1786,1786,1786,1786,押一付三,---
---,杭州,江干区,世茂天宸,4室1厅,---,8,"(0, 10]",1506,1506,1506,1506,押一付三,---
---,杭州,江干区,金沙学府,5室1厅,---,12,"(1, 11]",1536,1536,1536,1536,押一付三,---
---,杭州,江干区,宋都·晨光国际,6室2厅,---,12,"(1, 11]",1263,1263,1263,1263,押一付三,---
---,杭州,江干区,采荷小区芙蓉邨,3室1厅,---,10,"(1, 11]",1836,1836,1836,1836,押一付三,---
---,杭州,江干区,濮家新村,1室1厅,---,48,"(4, 14]",4490,4490,4490,4490,押一付三,---
---,杭州,江干区,宋都·晨光国际,6室2厅,---,20,"(2, 12]",1693,1693,1693,1693,押一付三,---
---,杭州,江干区,昆仑红苹果,4室1厅,---,10,"(1, 11]",1376,1376,1376,1376,押一付三,---
---,杭州,江干区,招商雍和府,5室1厅,---,25,"(2, 12]",1936,1936,1936,1936,押一付三,---
---,杭州,江干区,圣奥领寓,3室1厅,---,15,"(1, 11]",1676,1676,1676,1676,押一付三,---
---,杭州,江干区,九月庭院,5室1厅,---,14,"(1, 11]",1476,1476,1476,1476,押一付三,---
---,杭州,江干区,笕桥花苑,4室1厅,---,19,"(1, 11]",920,920,920,920,押一付三,---
---,杭州,江干区,铭和苑新荷坊,3室1厅,---,11,"(1, 11]",1506,1506,1506,1506,押一付三,---
---,杭州,江干区,德嘉金沙阳光,3室2厅,---,13,"(1, 11]",1746,1746,1746,1746,押一付三,---
---,杭州,江干区,三堡东苑,5室1厅,---,17,"(1, 11]",2160,2160,2160,2160,押一付三,---
---,杭州,江干区,红街天城公寓,1室1厅,---,35,"(3, 13]",4290,4290,4290,4290,押一付三,---
---,杭州,江干区,采荷新村,3室1厅,---,13,"(1, 11]",2153,2153,2153,2153,押一付三,---
---,杭州,江干区,昆仑红苹果,4室1厅,---,15,"(1, 11]",1606,1606,1606,1606,押一付三,---
---,杭州,江干区,昆仑红苹果,4室1厅,---,10,"(1, 11]",1506,1506,1506,1506,押一付三,---
---,杭州,江干区,昆仑红苹果,4室1厅,---,10,"(1, 11]",1506,1506,1506,1506,押一付三,---
---,杭州,江干区,采荷新村,3室1厅,---,17,"(1, 11]",2093,2093,2093,2093,押一付三,---
---,杭州,江干区,中海御道路一号四期,4室1厅,---,14,"(1, 11]",1976,1976,1976,1976,押一付三,---
---,杭州,江干区,世茂天宸,4室1厅,---,12,"(1, 11]",2006,2006,2006,2006,押一付三,---
---,杭州,江干区,景芳六区,3室1厅,---,12,"(1, 11]",2076,2076,2076,2076,押一付三,---
---,杭州,江干区,铭和苑新荷坊,4室2厅,---,13,"(1, 11]",1506,1506,1506,1506,押一付三,---
---,杭州,江干区,新沙家园,3室1厅,---,8,"(0, 10]",1446,1446,1446,1446,押一付三,---
---,杭州,江干区,滨江德信东方星城,5室1厅,---,16,"(1, 11]",1836,1836,1836,1836,押一付三,---
---,杭州,江干区,东郡国际朗湾,1室0厅,---,89,"(8, 18]",3500,3500,3500,3500,押一付三,---
